1,Tienda Sofia,no,si,diariamente,si,10,7,si,si,si,"Beneficios economicos, beneficios al cliente, que se abra la mente al cliente, innovador"
2,Tienda Johanita,no,no,no,no,4,3,si,si,si,Ninguna
3,Los Acasos,no,si,no,no,1,2,si,no,no,"Acompañar la contabilidad, capacitar"
4,,no,no,no,no,7,7,si,no,si,Inventarios
5,Tienda Prosperidad,no,si,mensualmente,no,10,10,si,si,si,Llevar el inventario. Que productos ha vendido y que no.
6,Panaderia Bumanguesa,no,si,diariamente,si,7,6,si,si,si,"llevar el registro de ventas, gastos"
